rank,player_display_name,recent_team,games,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,catch_rate,yac_per_rec,avg_snap_pct,fppg,fppg_ppr
82,Kimani Vidal,LAC,9,43,155.0,0,3.6,9,5,62.0,1,0.053955186,0.556,7.4,0.277,3.08,3.63
83,Kenneth Gainwell,PHI,20,88,332.0,1,3.77,25,19,142.0,0,0.061249446,0.76,7.47,0.24047619047619045,2.67,3.62
84,Dare Ogunbowale,HOU,17,32,126.0,0,3.94,29,20,198.0,1,0.06796056,0.69,8.7,0.27473684210526317,2.26,3.44
85,Khalil Herbert,CHI,3,8,16.0,1,2.0,2,2,4.0,0,0.05882353,1.0,3.0,0.065,2.67,3.33
86,D'Onta Foreman,CLE,10,71,232.0,0,3.27,8,6,54.0,0,0.043506417,0.75,8.0,0.2672727272727273,2.66,3.26
87,Jamycal Hasty,NE,9,20,69.0,0,3.45,12,10,59.0,1,0.059638064,0.833,7.2,0.11200000000000002,2.09,3.2
88,Kenny McIntosh,SEA,7,31,172.0,0,5.55,4,3,22.0,0,0.043270692,0.75,5.67,0.07470588235294118,2.77,3.2
89,Pierre Strong,CLE,11,26,108.0,0,4.15,22,14,104.0,0,0.06869578,0.636,8.79,0.19214285714285714,1.93,3.2
90,Ronnie Rivers,LA,6,25,107.0,0,4.28,6,5,34.0,0,0.08101852,0.833,11.6,0.07263157894736842,2.35,3.18
91,DeeJay Dallas,ARI,7,9,49.0,0,5.44,3,3,11.0,1,0.029318327,1.0,6.67,0.04588235294117647,2.57,3.0
92,D'Ernest Johnson,JAX,12,32,143.0,0,4.47,19,12,96.0,0,0.07611139,0.632,8.42,0.2292857142857143,1.99,2.99
93,Craig Reynolds,DET,7,31,139.0,0,4.48,5,3,40.0,0,0.051452022,0.6,14.0,0.0811111111111111,2.56,2.99
94,Cordarrelle Patterson,PIT,13,32,135.0,0,4.22,14,12,80.0,1,0.0665887,0.857,4.67,0.11714285714285715,1.96,2.88
95,Jamaal Williams,NO,13,48,164.0,1,3.42,11,9,57.0,0,0.053805385,0.818,5.89,0.1992857142857143,2.16,2.85
96,Ty Chandler,MIN,10,56,182.0,0,3.25,6,6,42.0,0,0.07963347,1.0,8.83,0.13444444444444445,2.24,2.84
97,Hassan Haskins,LAC,12,35,94.0,2,2.69,4,3,49.0,1,0.04097222,0.75,14.0,0.12166666666666666,2.52,2.77
98,Raheem Blackshear,CAR,3,15,80.0,0,5.33,0,0,0.0,0,,,,0.07187500000000001,2.67,2.67
99,Tyler Badie,DEN,4,13,94.0,0,7.23,3,3,-2.0,0,0.055151515,1.0,1.33,0.0975,1.8,2.55
100,Jonathon Brooks,CAR,3,9,22.0,0,2.44,3,3,23.0,0,0.07317073,1.0,10.33,0.11,1.5,2.5
101,Blake Corum,LA,14,58,207.0,0,3.57,8,7,58.0,0,0.04196382,0.875,9.29,0.11176470588235295,1.89,2.39
102,Deuce Vaughn,DAL,5,17,70.0,0,4.12,5,3,18.0,0,0.033809092,0.6,4.33,0.09714285714285716,1.76,2.36
103,J.J. Taylor,HOU,3,10,44.0,0,4.4,3,2,0.0,0,0.036076326,0.667,0.5,0.09,1.47,2.13
104,Jaylen Wright,MIA,13,68,249.0,0,3.66,6,3,8.0,0,0.041964285,0.5,2.67,0.16999999999999998,1.82,2.05
105,Sione Vaki,DET,4,6,14.0,0,2.33,3,3,37.0,0,0.040683962,1.0,6.67,0.020588235294117647,1.27,2.03
106,Carson Steele,KC,12,56,183.0,0,3.27,11,7,26.0,0,0.06612175,0.636,6.14,0.168,1.41,1.99
107,Eric Gray,NYG,10,14,31.0,0,2.21,11,10,82.0,0,0.049831443,0.909,10.3,0.09529411764705883,0.93,1.93
108,Julius Chestnut,TEN,7,22,102.0,0,4.64,3,2,11.0,0,0.033216376,0.667,7.0,0.07117647058823529,1.61,1.9
109,Travis Homer,CHI,4,6,23.0,0,3.83,3,3,11.0,0,0.125,1.0,3.33,0.11600000000000002,0.85,1.6
110,Jeffery Wilson,MIA,7,16,57.0,0,3.56,3,3,19.0,0,0.03813814,1.0,6.33,,1.09,1.51
111,Mike Boone,CAR,5,13,51.0,0,3.92,3,1,-2.0,0,0.05974026,0.333,2.0,0.12,0.98,1.18
112,Rasheen Ali,BAL,4,10,31.0,0,3.1,2,0,0.0,0,0.06666667,0.0,,0.07833333333333334,0.77,0.77
113,Aaron Shampklin,PIT,3,6,17.0,0,2.83,0,0,0.0,0,,,,0.14666666666666667,0.57,0.57
