,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz_targets
18,Christian Watson,GB,10,132.4,13.24,55,35,611,6,0.2030746401690929,0.3475040833137693,0.547864818573278,0.7497197419035055,17.76,0.636,11.11,3.37,0.6769999999999999,6
19,Quentin Johnston,LAC,13,171.2,13.17,84,51,735,8,0.1996616826116737,0.2803882557137554,0.4957643029171393,0.8346952149613158,11.77,0.607,8.75,4.33,0.7685714285714286,15
20,Michael Wilson,ARI,17,220.6,12.98,126,78,1006,7,0.1922149200063066,0.3124362128546307,0.5070277290077013,0.6632313209668897,11.92,0.619,7.98,3.5,0.8135294117647058,11
21,Jameson Williams,DET,17,219.9,12.94,102,65,1117,7,0.1861996202125486,0.3194567738683965,0.5029191720267004,0.9989989653979054,12.64,0.637,10.95,6.78,0.9017647058823528,0
22,Courtland Sutton,DEN,17,219.7,12.92,124,74,1017,7,0.2106750606917107,0.3444532420970438,0.5571298605054967,0.6958871249740232,12.44,0.597,8.2,3.0,0.8535294117647059,20
23,Tetairoa McMillan,CAR,17,213.4,12.55,122,70,1014,7,0.2574024620530512,0.459450865920246,0.707719299223749,0.6990412553561246,11.56,0.574,8.31,3.84,0.871764705882353,15
24,DK Metcalf,PIT,15,187.2,12.48,99,59,850,6,0.2241135461531662,0.3717469050513669,0.5963931527657061,1.0980520652222872,10.55,0.596,8.59,7.02,,13
25,Stefon Diggs,NE,17,210.3,12.37,102,85,1013,4,0.2186401581186368,0.2015260298734643,0.4690284580893803,1.2824637741573073,8.54,0.833,9.93,4.16,0.5376470588235295,12
26,Alec Pierce,IND,15,183.3,12.22,84,47,1003,6,0.1760185531931916,0.4059385213644318,0.5481847947448898,0.7129685546545755,18.96,0.56,11.94,3.7,0.8593333333333334,9
27,Rome Odunze,CHI,12,146.1,12.18,90,44,661,6,0.2363490252422808,0.3533042605692824,0.6018365202619188,0.4817089515686714,13.91,0.489,7.34,4.86,0.8808333333333334,13
28,Jaylen Waddle,MIA,16,194.12,12.13,100,64,910,6,0.2329432528606754,0.4270526991284921,0.6483517686809576,0.7735079104898676,13.06,0.64,9.1,3.56,0.77625,11
29,Jakobi Meyers,JAX,9,107.6,11.96,61,42,483,3,0.2312339732676338,0.2315785112191364,0.5089559177548462,0.9428699767407368,9.38,0.689,7.92,3.07,0.7933333333333333,15
30,Michael Pittman,IND,17,202.4,11.91,111,80,784,7,0.2064871813918957,0.2098829142932816,0.4566488120931408,0.9599539620825284,8.17,0.721,7.06,3.24,,18
31,DeVonta Smith,PHI,17,201.8,11.87,113,77,1008,4,0.2457648984905782,0.3212818056896132,0.5935446117185964,0.9581900805143242,11.99,0.681,8.92,3.81,0.8441176470588235,12
32,Justin Jefferson,MIN,17,201.5,11.85,141,84,1048,2,0.3066959376475031,0.4014692945076781,0.7410724126266294,0.8160027741734589,10.2,0.596,7.43,5.37,0.9417647058823532,19
33,Deebo Samuel Sr.,WAS,16,188.2,11.76,99,72,727,5,0.253664198655827,0.1344471699152252,0.4746093169243982,2.245460212640352,5.32,0.727,7.34,6.47,,0
34,Rashid Shaheed,NO,9,104.4,11.6,66,44,499,2,0.223366068451226,0.3080280111917385,0.550668710511056,0.710351853905386,11.33,0.667,7.56,3.27,0.7388888888888889,9
