rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,avg_snap_pct,rz_targets
41,Isaiah Likely,BAL,12,61.7,5.14,36,27,307,1,0.1199703764905171,0.1200337926131568,0.2639792195649855,1.1818989262574429,7.97,0.75,8.53,0.5592857142857143,6
42,Jonnu Smith,PIT,17,85.2,5.01,54,38,222,2,0.1061395523083475,0.0662108232505222,0.2055569047378868,1.7397334781370175,4.33,0.704,4.11,0.5270588235294118,8
43,Cole Kmet,CHI,16,78.7,4.92,48,30,347,2,0.0957548376997223,0.0961648021710946,0.2109476180693497,0.9020929208631576,8.77,0.625,7.23,0.714375,7
44,Tanner Hudson,CIN,10,47.8,4.78,24,19,168,2,0.0641370683922866,0.0375643006270502,0.1225006130273651,2.031935202728306,4.96,0.792,7.0,0.1473333333333333,6
45,Terrance Ferguson,LA,11,52.1,4.74,25,11,231,3,0.0645354000366989,0.1168905704414016,0.1786264993640295,0.4350278233499063,18.64,0.44,9.24,0.3671428571428571,3
46,Hunter Long,JAX,7,32.5,4.64,17,12,85,2,0.0685139395162067,0.0355724959441949,0.1276716564352466,1.5022435897435895,3.88,0.706,5.0,0.3988888888888888,4
47,Brock Wright,DET,8,36.8,4.6,22,14,108,2,0.0879319846264211,0.0134102188522347,0.1412851301361959,3.259018759018759,1.0,0.636,4.91,0.5763636363636363,2
48,Daniel Bellinger,NYG,13,59.6,4.58,26,19,286,2,0.0628215213515182,0.0662390429061786,0.1405996120616023,1.6293536177842982,9.38,0.731,11.0,0.499375,6
49,Josh Oliver,MIN,12,55.0,4.58,19,15,160,4,0.0653415683906412,0.0370561790854268,0.1239516779457606,2.05137741046832,3.37,0.789,8.42,0.458,7
50,Austin Hooper,NE,13,59.3,4.56,26,21,263,2,0.0710321269307952,0.0690353769993059,0.154872954295707,1.1874981393523594,9.0,0.808,10.12,0.5,5
51,Ja'Tavion Sanders,CAR,12,54.0,4.5,34,29,190,1,0.0915680000100193,0.0534364196140252,0.1747574937448466,2.89298384542287,4.82,0.853,5.59,0.483076923076923,10
52,Tommy Tremble,CAR,15,63.900000000000006,4.26,37,27,249,2,0.0913954687620336,0.0583039106685251,0.177905940611018,3.346350380350462,4.41,0.73,6.73,0.6011764705882353,5
53,Davis Allen,LA,15,62.8,4.19,33,24,208,3,0.0634799222523206,0.027350108505173,0.1143649593321021,2.5973015873015872,3.94,0.727,6.3,0.5029411764705882,7
54,Jackson Hawes,BUF,13,52.7,4.05,19,16,187,3,0.0565179132152376,0.0494113940413832,0.1193648456518246,1.755448717948718,7.32,0.842,9.84,0.4388235294117647,3
55,Luke Musgrave,GB,13,49.2,3.78,31,24,252,0,0.0849788341098455,0.0704899472400312,0.1768112142327901,1.2338826495884945,8.58,0.774,8.13,0.4005882352941177,1
56,Adam Trautman,DEN,13,45.5,3.5,23,20,195,1,0.0475170751682974,0.0342647950583104,0.0952609692932634,2.221317066771612,4.61,0.87,8.48,0.5729411764705883,1
57,Mitchell Evans,CAR,14,48.2,3.44,25,19,171,2,0.0644009763009812,0.0342681012011483,0.1205891352922756,1.913028302966384,3.64,0.76,6.84,0.3741176470588235,0
58,Elijah Higgins,ARI,17,58.1,3.42,37,30,301,0,0.066584032213275,0.0348749181570486,0.1242884910298466,1.4890299823633155,4.0,0.811,8.14,0.4252941176470588,5
59,Jeremy Ruckert,NYJ,14,46.900000000000006,3.35,29,23,179,1,0.0730259196442444,0.0292351911240674,0.1300035132532138,2.057504461350616,3.52,0.793,6.17,0.4717647058823529,3
60,Cade Stover,HOU,6,19.9,3.32,16,12,76,0,0.0928542000845922,0.0220388220307195,0.154708475548392,5.353703703703704,1.94,0.75,4.75,0.44,3
61,Taysom Hill,NO,13,41.78,3.21,16,11,91,0,0.0360218692911854,0.011941749093065,0.0623920283019237,2.457142857142857,3.38,0.688,5.69,0.2461538461538461,0
62,Ben Sinnott,WAS,9,28.4,3.16,13,11,114,1,0.0680030252398673,0.0625339692786529,0.145778316354858,2.055711575658384,8.15,0.846,8.77,0.360625,1
63,Tyler Conklin,LAC,6,17.3,2.88,10,7,101,0,0.0466587638511013,0.034831012021628,0.0943698541917916,1.3322344322344322,4.5,0.7,10.1,0.1923076923076923,0
64,Elijah Arroyo,SEA,13,36.9,2.84,26,15,179,1,0.0786042825093887,0.0842104330226232,0.1768537268799194,1.242006722848536,8.46,0.577,6.88,0.3953846153846153,5
65,Julian Hill,MIA,11,31.0,2.82,20,15,140,0,0.066684304999813,0.0259332939358441,0.1181797632548104,3.46,3.3,0.75,7.0,0.55,0
66,Nate Adkins,DEN,6,16.8,2.8,11,6,48,1,0.0493550138995273,0.0263545974183614,0.092480739042144,0.7016806722689076,3.18,0.545,4.36,0.3277777777777778,2
67,Mo Alie-Cox,IND,11,30.7,2.79,20,13,117,1,0.0564797181896989,0.0339944892035298,0.1085157197270193,2.022222222222222,4.65,0.65,5.85,0.3905882352941176,6
68,Charlie Kolar,BAL,13,36.2,2.78,15,10,142,2,0.0458360661078052,0.037189017890436,0.094786411685013,0.8777989983872335,7.07,0.667,9.47,0.4035294117647059,3
69,Noah Gray,KC,14,38.8,2.77,37,21,178,0,0.0815684512525307,0.0604437183383982,0.1646632797156748,0.907898712649844,6.46,0.568,4.81,0.52125,3
70,John Bates,WAS,10,27.3,2.73,16,11,103,1,0.0684920606959619,0.0292514746064142,0.1232141232684328,2.057454890788224,3.0,0.688,6.44,0.514,2
71,Ian Thomas,LV,9,24.4,2.71,13,13,114,0,0.0434321801598689,0.0243624393862234,0.0822019778101598,4.015686274509804,3.23,1.0,8.77,0.3593333333333334,0
72,Drew Sample,CIN,12,31.9,2.66,20,15,106,1,0.0487135748027901,0.000941206924659,0.0737292070514465,1.7474747474747474,-0.35,0.75,5.3,0.5358823529411765,1
73,Anthony Firkser,DET,5,13.3,2.66,10,8,53,0,0.0528068540860531,0.0244499590823287,0.0963252524867099,1.1352941176470588,3.5,0.8,5.3,0.3971428571428572,3
74,Will Dissly,LAC,8,20.700000000000003,2.59,16,11,97,0,0.0605393867027384,0.0259596349876687,0.1089808245454758,3.422353603603604,4.5,0.688,6.06,0.3188888888888889,1
75,Grant Calcaterra,PHI,9,22.6,2.51,13,9,76,1,0.0547918796000637,0.038972022478462,0.109468235135019,1.353422619047619,6.54,0.692,5.85,0.4026666666666667,3
76,Keleki Latu,BUF,3,7.5,2.5,4,4,35,0,0.0468253968253968,0.0172538995555813,0.0823158249270021,2.4375,3.0,1.0,8.75,0.2339999999999999,0
77,Josh Whyle,GB,6,14.6,2.43,6,5,36,1,0.0509300111848837,0.0053217839558167,0.0801202655463973,0.725,3.83,0.833,6.0,0.39875,1
78,John FitzPatrick,GB,11,25.2,2.29,15,12,72,1,0.0501433059542641,0.0149364606439322,0.0856704813821487,2.9444444444444446,1.6,0.8,4.8,0.3606666666666667,4
79,Luke Farrell,SF,13,29.5,2.27,14,11,85,2,0.0319411610411926,0.0140674047882005,0.0577589249135293,1.511904761904762,2.93,0.786,6.07,0.3470588235294118,4
80,Tanner Conner,MIA,8,18.1,2.26,15,9,91,0,0.0603620353145969,0.0608542393731277,0.1331410205330849,0.7953220931944337,7.93,0.6,6.07,0.3433333333333333,3
81,Stone Smartt,NYJ,6,12.2,2.03,9,7,52,0,0.0453431372549019,0.0367868658349903,0.0937655119668461,1.3010101010101012,4.67,0.778,5.78,0.0986666666666666,0
