player,position,team,ffc_adp,ffc_rank
Tucker Kraft,TE,GB,115.7,
Jake Ferguson,TE,DAL,119.7,
Jordan Love,QB,GB,119.9,
Marquise Brown,WR,PHI,120.6,
Rhamondre Stevenson,RB,NE,122.1,
Quinshon Judkins,RB,CLE,125.2,
Trevor Lawrence,QB,JAX,127.1,
Marvin Mims Jr.,WR,DEN,127.6,
Jerome Ford,RB,WAS,127.9,
Rashod Bateman,WR,BAL,128.2,
C.J. Stroud,QB,HOU,129.2,
Dallas Goedert,TE,PHI,129.9,
Jayden Higgins,WR,HOU,130.2,
Cam Skattebo,RB,NYG,131.2,
Nick Chubb,RB,FA,133.5,
Tank Bigsby,RB,PHI,136.7,
Tua Tagovailoa,QB,ATL,136.9,
Trey Benson,RB,ARI,137.1,
Dalton Kincaid,TE,BUF,139.7,
Bryce Young,QB,CAR,141.5,
DeMario Douglas,WR,NE,141.7,
Joe Mixon,RB,FA,143.3,
Brandon Aiyuk,WR,SF,143.5,
Adam Thielen,WR,FA,144.5,
Kyle Pitts Sr.,TE,ATL,144.9,
Colston Loveland,TE,CHI,147.1,
Geno Smith,QB,NYJ,147.9,
Jaydon Blue,RB,DAL,149.7,
Luther Burden III,WR,CHI,150.3,
Bhayshul Tuten,RB,JAX,150.5,
Zach Ertz,TE,FA,151.2,
Tyler Allgeier,RB,ARI,154.0,
Braelon Allen,RB,NYJ,155.6,
Tyjae Spears,RB,TEN,156.7,
Ollie Gordon II,RB,MIA,159.0,
Dont'e Thornton Jr.,WR,LV,163.7,
Amari Cooper,WR,FA,169.1,
