rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
150,Ben Skowronek,PIT,4,11.9,2.97,5,5,69.0,0,0.045892477,0.052714407,0.105738804,2.4063282,8.0,1.0,13.8,5.8,0.156,0,,0,
151,Luke McCaffrey,WAS,12,34.8,2.9,24,18,168.0,0,0.0688063,0.059231732,0.14467166,0.85946536,7.08,0.75,7.0,5.39,0.3658823529411764,0,,0,
152,Jonathan Mingo,CAR,8,22.6,2.83,26,12,121.0,0,0.09854601,0.119857274,0.2317191,0.5243416,9.27,0.462,4.65,5.33,0.54,0,,0,
153,Trent Sherfield,MIN,8,22.3,2.79,9,8,83.0,1,0.04019238,0.029238438,0.08075548,1.652753,6.0,0.889,9.22,5.0,0.1611764705882353,0,,0,
154,Zay Jones,ARI,6,16.400002,2.73,11,8,84.0,0,0.055610817,0.10018145,0.15354323,0.538492,10.82,0.727,7.64,2.38,0.3454545454545454,0,,0,
155,Jake Bobo,SEA,11,29.7,2.7,17,13,107.0,1,0.04027925,0.049308036,0.09493449,0.95578516,8.12,0.765,6.29,2.08,0.2923529411764706,0,,0,
156,Mike Woods,CLE,5,13.5,2.7,17,7,65.0,0,0.0858184,0.13588187,0.22384493,0.31805608,11.0,0.412,3.82,5.0,,0,,0,
157,Mason Tipton,NO,9,23.9,2.66,26,14,99.0,0,0.089307636,0.13108088,0.22571808,0.6819689,12.54,0.538,3.81,1.93,0.4909090909090909,0,,0,
158,Ryan Flournoy,DAL,7,18.2,2.6,14,10,102.0,0,0.053316683,0.06107105,0.12272476,1.1615283,8.21,0.714,7.29,3.4,0.2,0,,0,
159,Ja'Lynn Polk,NE,13,32.7,2.52,33,12,87.0,2,0.08664541,0.15216118,0.23648094,0.43898642,11.97,0.364,2.64,1.08,0.4606666666666666,0,,0,
160,D'Wayne Eskridge,MIA,3,7.4,2.47,3,3,44.0,0,0.033413507,0.022938458,0.06617718,1.1692308,5.0,1.0,14.67,9.67,0.0983333333333333,0,,0,
161,Laviska Shenault Jr.,SEA,6,14.7,2.45,5,5,36.0,0,0.029892761,-0.0037410432,0.04222041,0.6666666,-2.0,1.0,7.2,9.2,0.0636363636363636,0,,0,
162,Tim Jones,JAX,3,7.1,2.37,5,3,41.0,0,0.06031746,0.06379349,0.13513164,1.0849673,8.0,0.6,8.2,5.67,0.1641176470588235,0,,0,
163,Xavier Gipson,NYJ,7,16.4,2.34,10,6,39.0,1,0.047914345,0.087673485,0.13324295,1.6879433,11.2,0.6,3.9,3.67,0.1811764705882353,0,,0,
164,Dan Chisena,CAR,3,6.7,2.23,4,3,37.0,0,0.051059376,0.050455797,0.111908115,1.1843138,7.5,0.75,9.25,3.0,0.0483333333333333,0,,0,
165,Tyquan Thornton,NE,4,8.7,2.17,8,4,47.0,0,0.07669993,0.19327074,0.25033942,0.25730994,15.75,0.5,5.88,6.0,0.295,0,,0,
