rank,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,carries,rushing_yards,rushing_tds,ypc,targets,receptions,receiving_yards,receiving_tds,target_share,opportunity_share,catch_rate,yac_per_rec,avg_snap_pct,gl_carries,rz20_tgt,rz20_pct,rz10_tgt,rz10_pct
54,Sean Tucker,TB,11,68.7,6.25,50,308.0,2,6.16,12,9,109.0,1,0.042382933,0.086,0.75,11.67,0.0923529411764706,3,0,,0,
55,Tyler Allgeier,ATL,17,106.2,6.25,137,644.0,3,4.7,13,13,88.0,0,0.04049295,0.144,1.0,7.15,0.2494117647058823,7,0,,0,
56,Antonio Gibson,NE,17,103.4,6.08,120,538.0,1,4.48,29,23,206.0,0,0.07675144,0.162,0.793,9.26,0.3329411764705882,3,0,,0,
57,Jaleel McLaughlin,DEN,16,97.2,6.07,113,496.0,1,4.39,27,24,76.0,2,0.0699516,0.144,0.889,6.96,0.281875,3,3,4.5,2,6.7
58,Cam Akers,HOU,5,30.3,6.06,40,147.0,1,3.68,7,4,16.0,1,0.06163116,0.131,0.571,2.75,0.2779999999999999,4,4,,4,
59,Patrick Taylor,SF,5,29.8,5.96,39,183.0,1,4.69,11,3,25.0,0,0.07646795,0.16,0.273,6.33,0.1961538461538461,4,0,,0,
60,Raheem Mostert,MIA,12,70.9,5.91,85,278.0,2,3.27,23,19,161.0,0,0.06966879,0.147,0.826,7.68,0.3138461538461538,4,0,,0,
61,Gus Edwards,LAC,11,64.1,5.83,101,365.0,4,3.61,5,3,6.0,0,0.04402778,0.181,0.6,3.67,0.3472727272727272,7,0,,0,
62,Emanuel Wilson,GB,17,96.0,5.65,103,502.0,4,4.87,14,11,48.0,1,0.05557622,0.115,0.786,9.0,0.2341176470588235,5,0,,0,
63,Ty Johnson,BUF,17,91.7,5.39,41,213.0,1,5.2,25,18,284.0,3,0.06619971,0.066,0.72,9.44,0.2876470588235293,2,6,10.3,1,3.6
64,Chris Rodriguez,WAS,6,31.5,5.25,35,173.0,2,4.94,1,1,12.0,0,0.028571429,0.092,1.0,11.0,0.1177777777777777,0,0,,0,
65,Isaiah Davis,NYJ,9,45.9,5.1,30,174.0,1,5.8,12,9,75.0,1,0.06621378,0.081,0.75,8.33,0.0999999999999999,0,3,3.5,1,2.4
66,Braelon Allen,NYJ,17,85.200005,5.01,92,334.0,2,3.63,27,19,148.0,1,0.05851024,0.123,0.704,8.58,0.26,2,0,,0,
67,Tyler Goodson,IND,9,44.4,4.93,32,153.0,1,4.78,15,11,61.0,1,0.06784467,0.085,0.733,6.09,0.12625,1,0,,0,
68,Kendre Miller,NO,6,29.099998,4.85,39,148.0,1,3.79,8,5,33.0,0,0.04890085,0.148,0.625,6.6,0.2799999999999999,0,0,,0,
69,Dameon Pierce,HOU,9,43.5,4.83,40,293.0,2,7.32,4,2,2.0,0,0.04466322,0.086,0.5,2.5,0.1636363636363636,0,0,,0,
70,Samaje Perine,KC,17,81.4,4.79,20,92.0,1,4.6,35,28,322.0,1,0.06418654,0.054,0.8,11.18,0.2582352941176471,1,0,,0,
71,Jeremy McNichols,WAS,14,63.8,4.56,55,261.0,4,4.75,12,9,27.0,0,0.06309274,0.077,0.75,3.67,0.2141176470588235,3,0,,0,
72,Khalil Herbert,CIN,5,21.5,4.3,28,114.0,0,4.07,9,8,21.0,0,0.09858443,0.09,0.889,4.75,0.1875,4,0,,0,
73,Emari Demercado,ARI,13,54.7,4.21,24,223.0,1,9.29,20,16,104.0,0,0.08117437,0.06,0.8,5.94,0.2030769230769231,0,0,,0,
74,Trey Benson,ARI,12,47.0,3.92,63,291.0,1,4.62,6,6,59.0,0,0.048431564,0.101,1.0,13.0,0.1669230769230769,1,0,,0,
75,Kenneth Gainwell,PHI,16,62.6,3.91,75,290.0,1,3.87,22,16,116.0,0,0.060475558,0.098,0.727,6.75,0.26,0,3,5.6,0,0.0
76,Trey Sermon,IND,14,53.8,3.84,56,159.0,2,2.84,19,16,99.0,0,0.054116946,0.088,0.842,6.19,0.2205882352941176,7,0,,0,
77,Christopher Brooks,GB,11,42.2,3.84,36,183.0,1,5.08,13,11,69.0,0,0.061896738,0.075,0.846,8.64,,0,0,,0,
78,Ezekiel Elliott,DAL,15,57.5,3.83,74,226.0,3,3.05,15,12,69.0,0,0.04345484,0.099,0.8,8.08,0.2526666666666666,5,0,,0,
79,Audric Estime,DEN,13,48.7,3.75,76,310.0,2,4.08,5,5,27.0,0,0.052419353,0.105,1.0,7.4,0.1661538461538461,0,0,,0,
80,Dare Ogunbowale,HOU,15,56.0,3.73,30,112.0,0,3.73,28,19,198.0,1,0.07064775,0.065,0.679,8.84,0.2764705882352941,0,5,7.8,3,8.3
81,Jordan Mims,NO,7,26.1,3.73,20,70.0,0,3.5,18,12,71.0,0,0.11977059,0.099,0.667,6.67,0.1518181818181818,0,0,,0,
82,Zamir White,LV,8,29.3,3.66,65,183.0,1,2.82,8,6,30.0,0,0.0609623,0.169,0.75,8.33,0.305,2,0,,0,
83,Ronnie Rivers,LA,5,18.3,3.66,22,99.0,0,4.5,6,5,34.0,0,0.08101852,0.096,0.833,11.6,0.0735294117647058,0,0,,0,
84,Kimani Vidal,LAC,9,32.7,3.63,43,155.0,0,3.6,9,5,62.0,1,0.053955186,0.105,0.556,7.4,0.277,0,0,,0,
85,Khalil Herbert,CHI,3,9.999999,3.33,8,16.0,1,2.0,2,2,4.0,0,0.05882353,0.09,1.0,3.0,0.065,4,0,,0,
86,D'Onta Foreman,CLE,10,32.6,3.26,71,232.0,0,3.27,8,6,54.0,0,0.043506417,0.138,0.75,8.0,0.2672727272727273,6,0,,0,
87,Jamycal Hasty,NE,9,28.8,3.2,20,69.0,0,3.45,12,10,59.0,1,0.059638064,0.064,0.833,7.2,0.112,0,0,,0,
88,Kenny McIntosh,SEA,7,22.4,3.2,31,172.0,0,5.55,4,3,22.0,0,0.043270692,0.095,0.75,5.67,0.0747058823529411,0,0,,0,
89,Pierre Strong,CLE,11,35.2,3.2,26,108.0,0,4.15,22,14,104.0,0,0.06869578,0.073,0.636,8.79,0.1921428571428571,0,0,,0,
90,Will Shipley,PHI,5,15.7,3.14,30,82.0,0,2.73,4,4,35.0,0,0.09756097,0.111,1.0,7.0,0.06,0,0,,0,
